LotArea,OverallQual,YearRemodAdd,BsmtQual,BsmtFinSF1,TotalBsmtSF,FirststFlrSF,SecondndFlrSF,GrLivArea,GarageCars
7200,4,1950,,0,0,1040,0,1040,2
8500,5,1961,TA,600,1235,1235,0,1235,2
13360,5,2006,Gd,713,876,964,0,964,2
7200,6,1998,TA,1046,1214,1260,1031,2291,2
9337,6,1997,Gd,648,824,905,881,1786,2
9765,6,1993,Gd,310,680,680,790,1470,2
10264,7,1999,Gd,1162,1588,1588,0,1588,2
10921,4,1965,TA,520,960,960,0,960,1
10625,5,1950,TA,108,458,835,0,835,1
9320,4,1959,TA,569,950,1225,0,1225,0
10603,6,2001,TA,1200,1610,1610,0,1610,2
9206,6,1985,Gd,0,741,977,755,1732,2
7018,5,1979,,0,0,1535,0,1535,2
10402,7,2009,Gd,0,1226,1226,0,1226,3
7758,7,1950,TA,224,1040,1226,592,1818,1
9375,8,2004,Ex,0,1053,1053,939,1992,2
10800,4,1995,Fa,0,641,1047,0,1047,1
6000,5,1950,TA,104,789,789,0,789,1
8500,5,2005,TA,0,793,997,520,1517,0
11751,6,1977,Gd,705,1844,1844,0,1844,2
9525,6,1972,TA,444,994,1216,639,1855,1
7750,7,2000,Gd,250,384,774,656,1430,2
9965,7,2007,Ex,984,1264,1282,1414,2696,3
21000,6,1953,Gd,35,1809,2259,0,2259,2
7259,6,2002,TA,774,1028,1436,884,2320,1
3230,6,1999,Gd,419,729,729,729,1458,2
11616,5,1962,TA,170,1092,1092,0,1092,1
8536,5,2007,Gd,0,1125,1125,0,1125,2
12376,7,1990,Gd,1470,1673,1699,1523,3222,3
8461,6,2006,Gd,0,728,728,728,1456,2
21453,6,1969,TA,938,938,988,0,988,2
6060,4,1950,TA,0,732,772,351,1123,1
9464,6,1958,TA,570,1080,1080,0,1080,1
7892,6,1993,Gd,300,1199,1199,0,1199,2
17043,6,1998,Gd,0,1362,1586,0,1586,2
6780,6,1982,TA,490,520,520,0,754,0
4928,6,1976,Gd,120,1078,958,0,958,2
4388,5,1950,TA,116,672,840,0,840,0
7590,6,1966,TA,512,660,660,688,1348,2
8973,5,1991,TA,567,1008,1053,0,1053,2
14200,7,1966,TA,445,924,1216,941,2157,2
12224,6,2000,Gd,695,992,1022,1032,2054,2
7388,5,2002,TA,405,1063,1327,0,1327,2
6853,8,2002,Ex,1005,1267,1296,0,1296,2
10335,5,1993,TA,570,1461,1721,0,1721,2
10400,7,1970,TA,0,1304,1682,0,1682,2
10355,5,1967,TA,695,1214,1214,0,1214,1
11070,7,1989,TA,0,1907,1959,0,1959,3
9066,8,2000,Gd,668,1004,1004,848,1852,3
15426,6,1997,Gd,821,928,928,836,1764,2
10500,4,1971,TA,432,864,864,0,864,0
11645,7,2005,Gd,1300,1734,1734,0,1734,2
8520,5,1952,TA,507,910,910,475,1385,2
10335,7,1999,Gd,679,1490,1501,0,1501,2
9100,5,1963,TA,1332,1728,1728,0,1728,2
2522,6,2006,Gd,0,970,970,739,1709,2
6120,5,1993,TA,209,715,875,0,875,1
9505,7,2001,Gd,0,884,884,1151,2035,2
7500,7,2005,Gd,680,1080,1080,0,1080,0
6240,5,1950,Gd,0,896,896,448,1344,1
10356,5,1975,TA,716,969,969,0,969,2
13891,8,2008,Ex,1400,1710,1710,0,1710,3
14803,6,1971,TA,416,825,1097,896,1993,2
13500,6,1975,Gd,429,1602,1252,0,1252,2
11340,6,1950,TA,0,1200,1200,0,1200,1
9600,6,1950,TA,0,572,572,524,1096,0
7200,5,1950,,0,0,1040,0,1040,2
12003,8,2010,Ex,0,774,774,1194,1968,3
12552,7,2005,Gd,222,991,991,956,1947,2
19378,7,2006,Gd,57,1392,1392,1070,2462,2
11120,6,1984,Gd,660,1232,1232,0,1232,2
13688,9,2004,Ex,1016,1572,1572,1096,2668,3
12182,7,2005,Gd,1201,1541,1541,0,1541,2
5500,4,1956,TA,0,882,882,0,882,0
5400,6,2004,TA,370,1149,1149,467,1616,1
10106,5,1999,TA,351,644,808,547,1355,0
10708,5,1993,TA,379,1617,1867,0,1867,1
10562,8,2007,Ex,1288,1582,1610,551,2161,3
8244,7,2004,Gd,0,840,840,880,1720,2
16669,8,1981,Gd,0,1686,1707,0,1707,2
12358,5,1950,TA,360,720,854,0,1382,2
31770,6,1960,TA,639,1080,1656,0,1656,2
5306,7,1987,Gd,495,1064,1064,703,1767,2
10197,6,1961,TA,288,1362,1362,0,1362,2
12416,6,1986,Gd,1398,1606,1651,0,1651,2
12615,6,2001,TA,477,1202,2158,0,2158,2
10029,6,1989,Gd,831,1151,1164,896,2060,2
13650,5,1958,TA,57,1052,1252,668,1920,2
17423,9,2009,Ex,1904,2216,2234,0,2234,3
8520,5,2006,TA,0,968,968,0,968,2
2117,6,2000,Gd,436,756,769,756,1525,2
7588,7,1950,Fa,352,793,901,901,1802,1
9060,5,2006,,0,0,1340,0,1340,1
11426,7,2003,Gd,0,1362,1362,720,2082,2
7438,5,1991,Fa,0,504,936,316,1252,2
22950,10,1993,TA,0,1107,1518,1518,3608,3
9947,7,1991,Gd,611,1188,1217,0,1217,2
10410,5,1987,Fa,0,660,808,704,1656,1
7018,5,1979,Gd,1086,1086,1224,0,1224,2
4923,8,2002,Ex,1153,1593,1593,0,1593,2
10570,8,1994,Gd,297,853,1549,1178,2727,2
7472,7,2004,TA,626,725,725,754,1479,2
9017,7,1999,Gd,560,1431,1431,0,1431,2
2522,7,2004,Gd,0,970,970,739,1709,2
7180,5,1972,TA,390,864,864,0,864,1
2280,6,1976,Gd,566,855,855,601,1456,2
9416,7,2007,Ex,1126,1726,1726,0,1726,3
25419,8,1990,TA,1036,1360,1360,1360,3112,2
5520,6,1950,TA,0,755,929,929,2229,0
9591,8,2005,Ex,1088,1713,1713,0,1713,3
8546,4,2004,Gd,0,1121,1121,0,1121,2
10125,6,1977,TA,641,1196,1279,0,1279,2
7000,6,1950,Fa,617,617,865,445,1310,1
4438,6,2004,Gd,662,848,848,0,848,2
3500,5,1950,TA,312,720,720,564,1284,1
11851,7,1990,Gd,0,1424,1442,0,1442,2
13673,5,1962,TA,0,1140,1696,0,1696,1
12493,4,1960,TA,419,1100,1100,0,1100,1
14364,7,1989,Gd,1065,1157,1180,882,2062,2
8250,6,1964,Gd,787,1092,1092,0,1092,2
5604,5,1950,TA,468,864,864,0,864,0
10420,6,2009,Gd,36,1212,1212,0,1212,2
8640,7,2009,Gd,822,900,932,920,1852,2
13568,5,1995,Gd,716,990,990,0,990,2
10900,6,1977,Gd,378,689,689,703,1392,1
10011,5,1996,TA,360,1070,1236,0,1236,1
8450,7,2004,Gd,946,1436,1436,0,1436,2
9906,4,1950,TA,0,686,810,518,1328,1
15660,7,2006,TA,341,798,1137,817,1954,2
3010,7,2006,Gd,16,1248,1248,0,1248,2
8990,7,2006,Gd,0,1498,1498,0,1498,2
8068,6,2002,Gd,0,1010,1010,1257,2267,2
11475,6,1975,Gd,550,713,811,741,1552,2
10500,4,1971,TA,524,864,864,0,864,2
13472,10,2003,Ex,56,2392,2392,0,2392,3
1680,5,1971,TA,0,630,630,672,1302,1
9950,7,1995,Gd,565,1203,1214,1306,2520,3
1869,6,1970,TA,321,483,483,504,987,1
8521,5,1967,TA,842,912,912,0,912,1
3182,7,2006,Gd,16,1373,1555,0,1555,2
8760,6,1959,TA,0,1194,1194,0,1194,1
15138,8,1996,Gd,689,1462,1490,1304,2794,3
1680,6,1972,TA,0,483,483,504,987,1
10650,5,1976,TA,182,894,894,0,894,1
7851,6,2002,Gd,625,860,860,1100,1960,2
1680,6,1971,TA,358,483,483,504,987,1
8773,7,2004,Gd,24,1414,1414,0,1414,2
9453,7,2003,Gd,402,996,1014,730,1744,2
12030,8,2007,Ex,0,1694,1694,0,1694,3
8741,6,1950,TA,94,735,798,689,1487,1
9000,8,2008,Gd,1078,1566,1566,0,1566,2
3880,5,1997,TA,329,686,866,0,866,0
5000,5,1950,TA,0,540,889,551,1440,1
10762,6,1980,Gd,0,626,626,591,1217,1
8880,7,2002,Gd,695,948,1222,888,2110,2
10400,7,1988,Gd,929,1845,1872,0,1872,2
9142,6,1950,Fa,0,1020,908,1020,1928,1
11310,6,1954,TA,0,1367,1375,0,1375,2
11317,7,2003,Gd,0,840,840,828,1668,2
159000,6,2006,Gd,697,1444,1444,700,2144,2
5350,3,1966,TA,0,728,1306,0,1306,0
4750,8,2007,Gd,1573,1573,1625,0,1625,2
8366,6,2004,Gd,0,798,798,842,1640,2
9350,6,1991,Gd,270,1302,1302,0,1302,1
8400,5,1957,TA,922,1314,1314,0,1314,1
8738,7,1999,Gd,0,975,1005,1286,2291,2
8791,6,2003,Gd,503,864,864,864,1728,2
8814,7,2006,Gd,1334,1604,1604,0,1604,2
12435,7,2001,Gd,361,963,963,829,1792,2
12702,5,1956,,0,0,882,0,882,1
19296,6,1962,TA,672,1362,1382,0,1382,2
9588,8,2007,Ex,0,1482,1482,1092,2574,3
8471,6,1995,Gd,506,506,1212,0,1212,2
5500,5,2001,TA,234,926,926,0,1316,2
5232,5,2004,Fa,0,680,764,0,764,2
12090,6,1981,Gd,588,1422,1422,0,1422,2
11207,6,1997,Gd,714,802,802,709,1511,2
8400,5,1997,TA,378,720,1052,720,2192,1
6900,5,1955,TA,403,740,778,0,778,1
7917,6,1976,TA,751,1143,1113,0,1113,1
10728,8,2006,Gd,0,1095,1095,844,1939,3
39104,7,2005,Gd,226,1385,1363,0,1363,2
11764,8,2007,Gd,524,1152,1164,1106,2270,3
9600,6,1988,TA,620,1240,1632,0,1632,1
8314,5,1982,TA,546,816,816,0,816,1
7264,7,2007,TA,0,952,952,596,1548,2
9196,7,2003,Ex,0,1560,1560,0,1560,2
19138,4,1951,TA,120,864,864,0,864,2
14450,9,2007,Ex,0,2121,2121,0,2121,3
10005,7,1977,Gd,392,1160,1156,866,2022,2
11287,7,1989,Gd,421,807,1175,807,1982,2
7200,6,2006,Gd,905,1262,1262,0,1262,2
5063,7,2008,Gd,904,1314,1314,0,1314,2
9612,8,2009,Gd,0,1468,1468,0,1468,3
8012,6,1992,Gd,430,1575,1575,0,1575,2
4251,7,2007,Gd,0,625,625,625,1250,2
9786,6,1981,TA,600,912,1085,649,1734,2
8125,4,1971,TA,614,858,858,0,858,0
9819,5,1967,TA,450,882,900,0,900,1
8730,6,2003,TA,0,698,698,698,1396,1
15611,8,2006,Gd,0,1079,1079,840,1919,2
5687,5,2000,TA,210,780,936,780,1716,0
11409,5,2008,TA,292,768,1148,568,1716,1
16659,7,1994,TA,795,795,1468,795,2263,2
9600,6,1953,TA,1285,1416,1644,0,1644,2
7937,6,1984,TA,819,1003,1003,0,1003,2
13710,5,1950,TA,420,910,910,648,1558,1
7399,7,1998,Gd,649,975,975,975,1950,2
11700,6,1968,TA,384,702,1041,702,1743,2
14000,6,2004,TA,0,1092,1152,0,1152,1
15750,5,1953,TA,841,1165,1336,0,1336,1
16226,8,1999,Gd,281,1028,1210,1242,2452,2
13704,7,2002,Gd,0,1541,1541,0,1541,3
9800,5,1972,TA,894,894,894,0,894,2
18386,7,2002,TA,0,1470,1675,1818,3493,3
10386,8,2005,Gd,1464,2000,2000,0,2000,3
13474,7,1991,Gd,700,700,1122,1121,2243,3
7920,6,1950,TA,0,319,1035,371,1406,0
12342,4,1950,TA,262,861,861,0,861,2
12378,9,2004,Ex,1274,1896,1944,0,1944,3
7685,6,1994,Gd,518,697,697,804,1501,2
8000,6,2002,TA,680,972,972,0,972,1
7800,5,1950,Gd,507,793,793,325,1118,2
215245,7,1965,Gd,1236,2136,2036,0,2036,2
9600,7,1990,TA,16,728,832,809,1641,2
7795,7,2005,Gd,425,716,716,716,1432,2
13005,7,1980,Gd,692,845,1153,1200,2353,2
9000,8,2006,Gd,0,1088,1088,871,1959,3
9900,7,1993,Gd,987,1347,1372,1274,2646,3
14115,7,1980,Gd,1036,1372,1472,0,1472,2
16259,9,2006,Ex,0,1249,1249,1347,2596,3
12099,8,2004,Ex,970,1136,1136,1332,2468,3
10380,7,1987,TA,28,1502,1553,1177,2730,2
5820,3,2005,TA,256,1162,1163,0,1163,1
11275,7,2007,Gd,0,710,1898,1080,2978,2
5000,5,1950,TA,116,720,803,0,803,2
10846,8,1993,Gd,1619,1719,1719,0,1719,2
11600,6,1960,TA,565,1383,1383,0,1383,1
11888,6,1994,TA,0,844,1445,689,2134,2
6402,5,1950,TA,0,596,596,596,1192,1
10624,5,1964,TA,40,1728,1728,0,1728,1
8176,5,1992,TA,846,1056,1056,0,1056,1
10655,8,2004,Gd,1124,3206,1629,0,1629,3
8198,7,2004,Gd,720,1358,1358,0,1358,2
9042,6,1998,Gd,828,943,943,695,1638,2
164660,5,1965,TA,1249,1499,1619,167,1786,2
14157,9,2006,Ex,1249,1922,1922,0,1922,3
9135,7,2003,Gd,810,1536,1536,0,1536,2
14145,7,1998,Gd,213,1208,1621,0,1621,2
12400,6,1998,TA,585,1215,1215,0,1215,1
14191,8,2002,Gd,0,967,993,915,1908,2
8400,4,1950,TA,0,721,841,0,841,1
8544,3,1950,,0,0,1040,0,1040,2
8849,9,2005,Ex,28,1684,1684,0,1684,2
2592,5,1976,Gd,129,536,536,576,1112,1
6435,6,1950,TA,0,972,972,605,1577,1
12772,6,1998,TA,498,958,958,0,958,1
17600,6,1960,TA,1270,1478,1478,0,1478,2
2448,7,2004,Gd,573,764,764,862,1626,2
20431,9,2006,Ex,1410,1848,1848,880,2728,3
7820,9,2007,Ex,0,1869,1869,0,1869,2
5271,7,1986,Gd,1082,1453,1453,0,1453,2
9084,5,1950,TA,236,616,616,495,1111,1
8520,6,2003,TA,0,624,720,0,720,2
8400,6,2000,TA,388,940,1192,403,1595,1
11249,6,1995,Gd,334,1200,1200,0,1200,2
9248,6,1992,Gd,560,1158,1167,0,1167,2
4224,5,1976,Gd,874,1142,1142,0,1142,2
6930,5,1958,TA,300,1062,1352,0,1352,1
12011,8,1998,Gd,956,1086,1086,838,1924,2
7540,6,1978,Gd,773,888,912,0,912,2
9144,5,1982,TA,399,883,988,517,1505,1
7301,7,2003,,0,0,495,1427,1922,2
1680,6,2007,TA,162,483,483,504,987,1
18800,6,1976,Gd,712,796,790,784,1574,2
10690,5,1997,TA,456,672,672,672,1344,1
9500,6,1963,Gd,609,1394,1394,0,1394,2
9150,6,1962,Gd,371,1099,1431,0,1431,1
7800,5,1954,TA,540,1268,1268,0,1268,1
9830,5,2006,TA,72,1063,1287,0,1287,2
8121,6,2000,Gd,0,953,953,711,1664,2
17120,4,1959,,0,0,1120,468,1588,2
7175,6,1984,Gd,623,744,752,0,752,1
10634,5,1953,TA,428,608,1319,0,1319,1
8200,7,2004,Gd,0,847,847,1081,1928,2
10020,1,1950,Fa,350,683,904,0,904,0
8846,5,1996,Gd,298,870,914,0,914,2
11143,8,2005,Gd,0,1580,1580,886,2466,2
11394,9,2010,Ex,1445,1856,1856,0,1856,3
8123,6,2000,Gd,0,982,1007,793,1800,2
5000,5,1950,TA,218,1026,1026,665,1691,1
7200,7,2006,Gd,0,1293,1301,0,1301,2
9245,7,2006,Gd,0,939,939,858,1797,2
9000,6,1950,Fa,0,784,784,0,784,2
53107,6,1992,Gd,985,1580,1079,874,1953,2
3182,8,2005,Gd,24,1256,1269,0,1269,2
8410,5,1996,TA,0,658,658,526,1184,0
7200,6,1976,TA,631,1041,1125,0,1125,1
9382,7,2000,Gd,0,1468,1479,0,1479,2
12474,10,2008,Ex,1280,1682,1742,590,2332,3
8405,5,1950,TA,241,861,961,406,1367,1
12209,6,2002,Ex,690,804,804,1157,1961,2
8339,5,1959,,0,0,882,0,882,1
7446,4,1950,TA,266,788,788,0,788,0
10134,5,1950,TA,0,735,735,299,1034,1
9571,5,1956,TA,739,1144,1144,0,1144,1
7200,5,1972,TA,777,894,894,0,894,2
7590,5,1962,TA,540,864,876,936,1812,1
8967,5,1950,Fa,0,961,1077,0,1077,1
8125,7,2007,Gd,812,1092,1112,438,1550,2
14963,8,1996,Gd,786,1260,1288,0,1288,2
8767,7,2005,Gd,24,1310,1310,0,1310,2
10200,5,1997,TA,0,672,672,0,672,1
12090,8,1998,Gd,0,1141,1165,1098,2263,2
10364,6,1996,Gd,0,806,806,766,1572,2
9991,4,1993,TA,1116,1281,1620,0,1620,2
10480,6,1950,TA,0,1064,1166,0,1639,1
15576,6,1976,Gd,0,840,840,840,1680,1
14154,7,2006,Ex,0,1063,1071,1101,2172,3
10800,8,2008,Ex,789,1034,1050,1028,2078,3
9571,5,1958,TA,0,1276,1276,0,1276,1
34650,5,1955,TA,1056,1056,1056,0,1056,2
4403,7,2009,Ex,578,1470,1478,0,1478,2
8960,5,1950,TA,0,1008,1028,0,1028,2
11228,7,1993,Gd,50,1080,1080,1017,2097,3
8899,7,2007,Gd,24,1340,1340,0,1340,2
7844,6,1978,TA,209,672,672,728,1400,2
22420,6,1950,Gd,1128,1370,1370,1254,2624,3
8160,5,1950,TA,312,756,756,378,1134,1
8450,5,1968,TA,775,1056,1056,0,1056,1
7060,7,1998,Gd,1309,1344,1344,0,1344,4
16635,6,2000,Gd,1246,1602,1602,0,1602,2
21750,5,1954,TA,0,988,988,0,988,2
9200,8,1998,Gd,986,1470,1470,1160,2630,3
9000,6,1956,Gd,616,1196,1196,0,1196,1
3378,7,1992,TA,0,651,707,682,1389,1
12800,7,1989,Gd,1518,1518,1644,0,1644,2
8593,4,1957,TA,288,907,907,0,907,1
6762,7,2007,Gd,664,1208,1208,0,1208,2
11457,6,1988,Gd,1005,1392,1412,0,1412,2
1680,6,1971,TA,387,483,483,504,987,1
5586,6,1998,TA,0,901,1088,110,1198,0
1920,5,1971,TA,471,765,765,600,1365,2
10839,6,1998,Gd,0,926,926,678,1604,2
1890,4,1972,Gd,495,630,630,0,630,0
10667,7,1996,Gd,385,799,827,834,1661,2
4400,6,1950,Fa,0,648,734,384,1118,2
6000,6,2004,TA,0,884,904,0,904,1
4280,5,2002,TA,365,440,694,0,694,1
12354,6,2000,TA,0,684,684,512,1196,2
15431,10,2008,Ex,1767,3094,2402,0,2402,3
12108,4,1955,TA,133,1440,1440,0,1440,0
6240,5,1992,TA,0,1078,1128,445,1573,2
3922,7,2007,Ex,0,1258,1258,0,1258,3
8750,7,1995,Gd,642,915,933,975,1908,2
9855,6,1956,TA,0,1436,1689,0,1689,2
16492,6,2002,TA,247,1517,1888,0,1888,2
11214,7,1999,Gd,0,930,956,930,1886,2
8600,6,1950,TA,0,780,780,596,1376,1
6000,3,2002,TA,331,649,679,504,1183,1
5684,6,2005,TA,0,813,813,0,813,1
70761,7,1975,Gd,655,1533,1533,0,1533,2
9303,6,1997,Ex,742,872,888,868,1756,2
9000,8,2008,Gd,0,768,786,804,1590,2
9297,5,1976,TA,1606,1728,1728,0,1728,2
9600,7,1973,TA,916,1242,1242,0,1242,2
4571,5,1950,TA,0,624,624,720,1344,3
53227,4,1994,Gd,1116,1364,1663,0,1663,2
5100,8,1996,TA,0,588,833,833,1666,1
7015,5,1950,TA,185,709,979,224,1203,1
8004,8,2009,Gd,544,832,832,1103,1935,2
7200,7,2007,Gd,350,560,575,560,1135,2
8281,5,1965,TA,553,864,864,0,864,1
11988,6,1995,TA,326,715,849,811,1660,1
8430,5,1978,Gd,616,1040,1040,0,1040,0
3072,7,2004,Gd,0,1375,1414,0,1414,2
10628,7,1970,TA,778,1277,1277,0,1277,2
9480,5,1995,TA,386,728,888,756,1644,1
11428,8,2006,Gd,0,1626,1634,0,1634,3
9291,6,1993,Gd,426,832,832,878,1710,2
6820,8,1985,Gd,368,1488,1502,0,1502,2
11952,7,1977,Gd,0,808,1161,808,1969,2
3675,6,2005,Gd,459,547,1072,0,1072,2
14977,8,2007,Ex,1350,1976,1976,0,1976,3
5330,8,2000,Gd,1196,1494,1652,0,1652,2
8480,5,1963,TA,630,970,970,0,970,2
13125,6,1998,Gd,994,1478,1493,0,1493,2
13693,9,2006,Gd,0,2153,2069,574,2643,3
10637,8,2008,Ex,1288,1705,1718,0,1718,3
5925,4,2000,Fa,168,907,1131,0,1131,2
16033,9,2005,Ex,1261,1833,1850,0,1850,3
11846,9,2004,Ex,1567,1792,1792,0,1792,3
2500,7,2005,TA,299,910,916,910,1826,1
4500,6,1998,Ex,897,1216,1216,0,1216,2
7758,5,2001,TA,588,999,999,0,999,1
9600,5,2007,TA,607,1113,1113,0,1113,1
10289,5,1965,TA,836,1073,1073,0,1073,2
12243,5,1971,Gd,998,1484,1484,0,1484,2
10800,5,1970,TA,664,954,1766,648,2414,2
1526,4,2002,Gd,515,630,630,0,630,1
2665,5,1976,Gd,0,264,616,688,1304,1
9490,6,1950,TA,403,806,958,620,1578,1
15578,6,2006,Gd,0,728,728,728,1456,2
7931,5,1960,TA,374,1269,1269,0,1269,1
5784,5,1996,Fa,0,190,886,0,886,1
7879,4,1950,TA,495,720,720,0,720,0
12692,8,1993,Gd,1231,3200,3228,0,3228,2
9120,7,1950,TA,329,1026,1133,687,1820,1
7800,5,2004,TA,450,864,899,0,899,1
7535,5,1985,TA,111,912,912,0,912,1
1890,6,1973,TA,356,672,672,546,1218,1
9803,7,2005,Gd,400,866,866,902,1768,2
9170,5,1965,TA,698,1214,1214,0,1214,2
15602,7,1997,TA,1247,1501,1801,0,1801,2
2308,6,1974,TA,257,855,855,467,1322,2
7596,5,1952,TA,0,960,960,1000,1960,2
9554,8,1994,Gd,380,777,1065,846,1911,2
7862,6,2009,Gd,27,1218,1218,0,1218,2
9600,7,2005,TA,141,689,689,689,1378,2
9600,5,1959,TA,991,1041,1041,0,1041,1
14559,5,2000,TA,650,1008,1363,0,1363,1
6792,7,2006,Gd,0,1368,1368,0,1368,2
9100,5,1958,TA,521,864,864,0,864,2
9187,6,1983,TA,336,1084,1080,0,1080,2
10594,5,1950,TA,0,768,789,0,789,1
12220,10,2009,Ex,1436,2006,2020,0,2020,3
10448,6,1972,TA,0,689,1378,741,2119,2
10208,7,1997,Gd,0,1264,1277,1067,2344,3
9531,6,1998,Gd,706,794,882,914,1796,2
10918,7,2004,Gd,0,1276,1276,804,2080,1
10800,4,2000,,0,0,694,600,1294,0
11988,6,1957,TA,777,1244,1244,0,1244,1
5000,6,1950,TA,399,1004,1004,660,1664,2
40094,10,2008,Ex,2260,3138,3138,1538,4676,3
11787,7,1997,Gd,719,1379,1383,1015,2398,3
7500,7,2005,Gd,0,1257,1266,0,1266,2
13300,5,2000,Gd,377,928,928,0,928,1
14948,9,2008,Ex,1330,1452,1476,1237,2713,3
9098,4,2002,TA,348,528,605,0,605,0
32668,6,1975,TA,1219,2035,2515,0,2515,2
10200,6,1989,Gd,783,1461,1509,0,1509,2
6155,6,1999,Fa,0,611,751,611,1362,2
7200,5,2007,,0,0,827,0,827,1
5000,1,1950,,0,0,334,0,334,0
9056,8,2004,Ex,0,707,707,707,1414,2
7000,5,1991,Gd,969,1117,820,527,1347,0
8924,7,1999,Gd,0,880,880,844,1724,2
12735,4,1972,TA,600,864,864,0,864,2
11553,5,1968,TA,673,1051,1159,0,1159,1
